,product_model,product_desc,category,sub_category,heading_text,product_url,sub_category_url,category_url
50,T-12RSS,PRO X T-12RSS,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/206011/230924,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
51,CHS30,Gear Bag,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/122004/123197,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
52,CHS60,VIP Gear Bag for 2; 1 m Strip Fixtures,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/115912/123200,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
53,CHS25,Gear Bag,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/122009/123196,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
54,CHSFR4,Durable bag designed to transport up to 4 fixtures,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/167404/123203,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
55,CHS50,13 x 14 x 23in Wheeled VIP Gear Bag,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/94102/123199,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
56,CHS40,13 x 13 x 14in VIP Gear Bag,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/94103/123198,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
57,CHSBPK,Easily transports a multitude of gear and laptops,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/185417/123201,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
58,U 47 FET,NEUMANN U 47 FET,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/215202/468005,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
59,SS35C,"DJ, Light Blue, For Use With SC35C",DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/6212/207582,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
60,3I2222-12QSC,SKB 3i2222-12QSC,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/215965/464272,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
61,CHSSP4,Travel Bag for 4pc SlimPAR 56,DJ,DJ Cases,Lighting / DJ,https://tmppro.com/products/view/100672/123204,http://tmppro.com/products/category/lighting_dj/dj/djcases,http://tmppro.com/products/group/lighting_dj/dj
62,XPRESS1024,CHAUV DJ XPRESS1024,DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/241331/464673,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
63,DJC4,DJ Controller with Audio Interface,DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/103756/121237,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
64,UC IR,"REMOTE FOR LED UV GO, PINSPOT LED PRO, I",DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/172166/123044,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
65,RGBW 4C IR,RGBW 4C IR;4 CHNL RGBW OR RGBA CTNLOR,DJ,DJ Controllers,Lighting / DJ,https://tmppro.com/products/view/182802/122998,http://tmppro.com/products/category/lighting_dj/dj/djcontrollers,http://tmppro.com/products/group/lighting_dj/dj
